percent,Dimensionless,%
degree,Angle,deg
grad,Angle,grad
radian,Angle,rad
degree north,Angle,degN
degree south,Angle,degS
degree west,Angle,degW
degree east,Angle,degE
arcminute,Angle,arcmin
arcsecond,Angle,arcsec
steradian,Angle,sr
acre,Area,ac
hectare,Area,ha
square centimeter,Area,cm^2
square foot,Area,ft^2
square kilometer,Area,km^2
square meter,Area,m^2
square mile,Area,mi^2
hertz,Frequency,Hz
darcy,Permeability,D
british thermal unit,Energy,BTU
calorie,Energy,cal
erg,Energy,erg
foot pound force,Energy,lbf ft
joule,Energy,J
kilowatt hour,Energy,kW hr
electronvolt,Energy,eV
langleys per day,Energy Flux,Ly/d
langleys per minute,Energy Flux,Ly/min
langleys per second,Energy Flux,Ly/s
megajoules per square meter per day,Energy Flux,MJ/m^2 d
watts per square centimeter,Energy Flux,W/cm^2
watts per square meter,Energy Flux,W/m^2
acre feet per year,Flow,ac ft/yr
cubic feet per second,Flow,cfs
cubic meters per second,Flow,m^3/s
cubic meters per day,Flow,m^3/d
gallons per minute,Flow,gpm
liters per second,Flow,L/s
million gallons per day,Flow,MGD
dyne,Force,dyn
kilogram force,Force,kgf
newton,Force,N
pound force,Force,lbf
kilo pound force,Force,kip
ounce force,Force,ozf
centimeter,Length,cm
international foot,Length,ft
international inch,Length,in
international yard,Length,yd
kilometer,Length,km
meter,Length,m
international mile,Length,mi
millimeter,Length,mm
micron,Length,um
angstrom,Length,Å
femtometer,Length,fm
nautical mile,Length,nmi
lumen,Light,lm
lux,Light,lx
lambert,Light,La
stilb,Light,sb
phot,Light,ph
langley,Light,Ly
gram,Mass,g
kilogram,Mass,kg
milligram,Mass,mg
microgram,Mass,ug
pound mass (avoirdupois),Mass,lb
slug,Mass,slug
metric ton,Mass,tonne
grain,Mass,grain
carat,Mass,car
atomic mass unit,Mass,amu
short ton,Mass,ton
BTU per hour,Power,BTU/hr
foot pound force per second,Power,lbf/s
horse power (shaft),Power,hp
kilowatt,Power,kW
watt,Power,W
voltampere,Power,VA
atmospheres,Pressure/Stress,atm
pascal,Pressure/Stress,Pa
inch of mercury,Pressure/Stress,inch Hg
inch of water,Pressure/Stress,inch H2O
millimeter of mercury,Pressure/Stress,mm Hg
millimeter of water,Pressure/Stress,mm H2O
centimeter of mercury,Pressure/Stress,cm Hg
centimeter of water,Pressure/Stress,cm H2O
millibar,Pressure/Stress,mbar
pound force per square inch,Pressure/Stress,psi
torr,Pressure/Stress,torr
barie,Pressure/Stress,barie
meters per pixel,Resolution,meters per pixel
meters per meter,Scale,-
degree celsius,Temperature,degC
degree fahrenheit,Temperature,degF
degree rankine,Temperature,degR
degree kelvin,Temperature,degK
second,Time,s
millisecond,Time,millisec
minute,Time,min
hour,Time,hr
day,Time,d
week,Time,week
month,Time,month
common year (365 days),Time,yr
leap year (366 days),Time,leap yr
Julian year (365.25 days),Time,jul yr
Gregorian year (365.2425 days),Time,greg yr
centimeters per hour,Velocity,cm/hr
centimeters per second,Velocity,cm/s
feet per second,Velocity,ft/s
gallons per day per square foot,Velocity,gpd/ft^2
inches per hour,Velocity,in/hr
kilometers per hour,Velocity,km/h
meters per day,Velocity,m/d
meters per hour,Velocity,m/hr
meters per second,Velocity,m/s
miles per hour,Velocity,mph
millimeters per hour,Velocity,mm/hr
nautical mile per hour,Velocity,knot
acre foot,Volume,ac ft
cubic centimeter,Volume,cc
cubic foot,Volume,ft^3
cubic meter,Volume,m^3
hectare meter,Volume,hec m
liter,Volume,L
US gallon,Volume,gal
barrel,Volume,bbl
pint,Volume,pt
bushel,Volume,bu
teaspoon,Volume,tsp
tablespoon,Volume,tbsp
quart,Volume,qrt
ounce,Volume,oz
dimensionless,Dimensionless,-
mega joule,Energy,MJ
degrees minutes seconds,Angle,dddmmss
calories per square centimeter per day,Energy Flux,cal/cm^2 d
calories per square centimeter per minute,Energy Flux,cal/cm^2 min
milliliters per square centimeter per day,Hyporheic flux,ml/cm^2 d
micromoles per square meter per second,Areal Flux,umol/m^2 s
megajoules per square meter,Energy per Area,MJ/m^2
gallons per day,Flow,gpd
million gallons per month,Flow,MGM
million gallons per year,Flow,MGY
short tons per day per foot,Mass flow per unit width,ton/d ft
lumens per square foot,Light Intensity,lm/ft^2
microeinsteins per square meter per second,Light Intensity,uE/m^2 s
alphas per meter,Light,a/m
microeinsteins per square meter,Light,uE/m^2
millimoles of photons per square meter,Light,mmol/m^2
absorbance per centimeter,Extinction/Absorbance,A/cm
nanogram,Mass,ng
picogram,Mass,pg
milliequivalents,Mass,meq
grams per square meter,Areal Density,g/m^2
milligrams per square meter,Areal Density,mg/m^2
micrograms per square meter,Areal Density,ug/m^2
grams per square meter per day,Areal Loading,g/m^2 d
grams per day,Loading,g/d
pounds per day,Loading,lb/d
pounds per mile,Loading,lb/mi
short tons per day,Loading,ton/d
milligrams per cubic meter per day,Productivity,mg/m^3 d
milligrams per square meter per day,Productivity,mg/m^2 d
volts,Potential Difference,V
millivolts,Potential Difference,mV
kilopascal,Pressure/Stress,kPa
megapascal,Pressure/Stress,MPa
becquerel,Radioactivity,Bq
becquerels per gram,Radioactivity,Bq/g
curie,Radioactivity,Ci
picocurie,Radioactivity,pCi
ohm,Resistance,ohm
ohm meter,Resistivity,ohm m
picocuries per gram,Specific Activity,pCi/g
picocuries per liter,Specific Activity,pCi/L
picocuries per milliliter,Specific Activity,pCi/ml
hour minute,Time,hhmm
year month day,Time,yymmdd
year day (Julian),Time,yyddd
inches per day,Velocity,in/d
inches per week,Velocity,in/week
inches per storm,Precipitation,in/storm
thousand acre feet,Volume,10^3 ac ft
milliliter,Volume,ml
cubic feet per second days,Volume,cfs d
thousand gallons,Volume,10^3 gal
million gallons,Volume,10^6 gal
microsiemens per centimeter,Electrical Conductivity,uS/cm
practical salinity units,Salinity,psu
decibel,Sound,dB
cubic centimeters per gram,Specific Volume,cm^3/g
square meters per gram,Specific Surface Area,m^2/g
short tons per acre foot,Concentration,ton/ac ft
grams per cubic centimeter,Concentration,g/cm^3
milligrams per liter,Concentration,mg/L
nanograms per cubic meter,Concentration,ng/m^3
nanograms per liter,Concentration,ng/L
grams per liter,Concentration,g/L
micrograms per cubic meter,Concentration,ug/m^3
micrograms per liter,Concentration,ug/L
parts per million,Concentration,ppm
parts per billion,Concentration,ppb
parts per trillion,Concentration,ppt
parts per quintillion,Concentration,ppqt
parts per quadrillion,Concentration,ppq
per mille,Concentration,‰
microequivalents per liter,Concentration,ueq/L
milliequivalents per liter,Concentration,meq/L
milliequivalents per 100 gram,Concentration,meq/100 g
milliosmols per kilogram,Concentration,mOsm/kg
nanomoles per liter,Concentration,nmol/L
picograms per cubic meter,Concentration,pg/m^3
picograms per liter,Concentration,pg/L
picograms per milliliter,Concentration,pg/ml
tritium units,Concentration,TU
jackson turbidity units,Turbidity,JTU
nephelometric turbidity units,Turbidity,NTU
nephelometric turbidity multibeam unit,Turbidity,NTMU
nephelometric turbidity ratio unit,Turbidity,NTRU
formazin nephelometric multibeam unit,Turbidity,FNMU
formazin nephelometric ratio unit,Turbidity,FNRU
formazin nephelometric unit,Turbidity,FNU
formazin attenuation unit,Turbidity,FAU
formazin backscatter unit,Turbidity,FBU
backscatter units,Turbidity,BU
attenuation units,Turbidity,AU
platinum cobalt units,Color,PCU
the ratio between UV absorbance at 254 nm and DOC level,Specific UV Absorbance,L/(mg DOC/cm)
billion colonies per day,Organism Loading,10^9 colonies/d
number of organisms per square meter,Organism Concentration,#/m^2
number of organisms per liter,Organism Concentration,#/L
number or organisms per cubic meter,Organism Concentration,#/m^3
cells per milliliter,Organism Concentration,cells/ml
cells per square millimeter,Organism Concentration,cells/mm^2
colonies per 100 milliliters,Organism Concentration,colonies/100 ml
colonies per milliliter,Organism Concentration,colonies/ml
colonies per gram,Organism Concentration,colonies/g
colony forming units per milliliter,Organism Concentration,CFU/ml
cysts per 10 liters,Organism Concentration,cysts/10 L
cysts per 100 liters,Organism Concentration,cysts/100 L
oocysts per 10 liters,Organism Concentration,oocysts/10 L
oocysts per 100 liters,Organism Concentration,oocysts/100 L
most probable number,Organism Concentration,MPN
most probable number per 100 liters,Organism Concentration,MPN/100 L
most probable number per 100 milliliters,Organism Concentration,MPN/100 ml
most probable number per gram,Organism Concentration,MPN/g
plaque-forming units per 100 liters,Organism Concentration,PFU/100 L
plaques per 100 milliliters,Organism Concentration,plaques/100 ml
counts per second,Rate,#/s
per day,Rate,1/d
nanograms per square meter per hour,Volatilization Rate,ng/m^2 hr
nanograms per square meter per week,Volatilization Rate,ng/m^2 week
count,Dimensionless,#
categorical,Dimensionless,code
absorbance per centimeter per mg/L of given acid,Absorbance,100/cm mg/L
per liter,Concentration Ratio,1/L
per mille per hour,Sedimentation Rate,‰/hr
gallons per batch,Flow,gpb
cubic feet per barrel,Concentration,ft^3/bbl
per mille by volume,Concentration,‰ by vol
per mille per hour by volume,Sedimentation Rate,‰/hr by vol
micromoles,Amount,umol
tons of calcium carbonate per kiloton,Net Neutralization Potential,tCaCO3/Kt
siemens per meter,Electrical Conductivity,S/m
millisiemens per centimeter,Electrical Conductivity,mS/cm
siemens per centimeter,Electrical Conductivity,S/cm
practical salinity scale,Salinity,pss
per meter,Light Extinction,1/m
normal,Normality,N
nanomoles per kilogram,Concentration,nmol/kg
millimoles per kilogram,Concentration,mmol/kg
millimoles per square meter per hour,Areal Flux,mmol/m^2 hr
milligrams per cubic meter per hour,Productivity,mg/m^3 hr
milligrams per day,Loading,mg/d
liters per minute,Flow,L/min
liters per day,Flow,L/d
jackson candle units,Turbidity,JCU
grains per gallon,Concentration,gpg
gallons per second,Flow,gps
gallons per hour,Flow,gph
foot candle,Illuminance,ftc
fibers per liter,Concentration,fibers/L
drips per minute,Flow,drips/min
cubic centimeters per second,Flow,cm^3/sec
colony forming units,Organism Concentration,CFU
colony forming units per 100 milliliter,Organism Concentration,CFU/100 ml
cubic feet per minute,Flow,cfm
ADMI color unit,Color,ADMI
percent by volume,Concentration,% by vol
number of organisms per 500 milliliter,Organism Concentration,#/500 ml
number of organisms per 100 gallon,Organism Concentration,#/100 gal
grams per cubic meter per hour,Productivity,g/m^3 hr
grams per minute,Loading,g/min
grams per second,Loading,g/s
million cubic feet,Volume,10^6 ft^3
month year,Time,mmyy
bar,Pressure,bar
decisiemens per centimeter,Electrical Conductivity,dS/cm
micromoles per liter,Concentration,umol/L
Joules per square centimeter,Energy per Area,J/cm^2
millimeters per day,velocity,mm/day
parts per thousand,Concentration,ppth
megaliter,Volume,ML
Percent Saturation,Concentration,% Sat
pH Unit,Dimensionless,pH
millimeters per second,Velocity,mm/s
liters per hour,Flow,L/hr
cubic hecto meter,Volume,(hm)^3
mols per cubic meter,Concentration or organism concentration,mol/m^3
kilograms per month,Loading,kg/month
hectopascal,Pressure/Stress,hPa
kilograms per cubic meter,Concentration,kg/m^3
short tons per month,Loading,ton/month
grams per square meter per hour,Areal Flux,g/m^2 hr
milligrams per cubic meter,Concentration,mg/m^3
meters squared per second squared,Velocity,m^2/s^2
squared degree Celsius,Temperature,(DegC)^2
milligrams per cubic meter squared,Concentration,(mg/m^3)^2
meters per second degree Celsius,Temperature,m/s DegC
millimoles per square meter per second,Areal Flux,mmol/m^2 s
degree Celsius millimoles per cubic meter,Concentration,DegC mmol/m^3
millimoles per cubic meter,Concentration,mmol/m^3
millimoles per cubic meter squared,Concentration,(mmol/m^3)^2
Langleys per hour,Energy Flux,Ly/hr
hits per square centimeter,Precipitation,hits/cm^2
hits per square centimeter per hour,Velocity,hits/cm^2 hr
relative fluorescence units,Fluorescence,RFU
kilograms per hectare per day,Areal Flux,kg/ha d
kilowatts per square meter,Energy Flux,kW/m^2
kilograms per square meter,Areal Density,kg/m^2
microeinsteins per square meter per day,Light Intensity,uE/m^2 d
microgram per milliliter,Concentration,ug/mL
Newton per square meter,Pressure/Stress,Newton/m^2
micromoles per liter per hour,Pressure/Stress,umol/L hr
decisiemens per meter,Electrical Conductivity,dS/m
milligrams per kilogram,Mass Fraction,mg/Kg
number of organisms per 100 milliliter,Organism Concentration,#/100 mL
micrograms per kilogram,Mass Fraction,ug/Kg
grams per kilogram,Mass Fraction,g/Kg
acre feet per month,Flow,ac ft/mo
acre feet per half month,Flow,ac ft/0.5 mo
cubic meters per minute,Flow,m^3/min
count per half cubic foot,Concentration,#/((ft^3)/2)
micrograms per gram,Mass Fraction,ug/g
nanograms per gram,Mass Fraction,ng/g
milliliters per gram,Specific Volume,ml/g
grams per 0.1 square meter,Areal Density,g/0.1 m^2
number of organisms per 0.1 square meter,Organism Concentration,#/0.1 m^2
number of organisms per 1000 square meter,Organism Concentration,#/1000 m^2
kilograms per 1000 square meter,Areal Density,kg/1000 m^2
microgram meter per liter,Length Integrated Concentration,ug m/L
milligrams per milliliter,Concentration,mg/mL
superoxide dismutase units per minute per milligram,Normalized Flux,U/min mg
picomoles per minute per milligram,Normalized Flux,pmol/min mg
nanomoles per minute per milligram,Normalized Flux,nmol/min mg
PCR cycle,Dimensionless,-
nanograms per milliliter,Concentration,ng/mL
gallons per month,Flow,gpm
gallons per year,Flow,gpy
Kilogram per cubic meter,Density,kg/m^3
grams per milliliter,Density,g/mL
meter of water,Pressure/Stress,m H2O
millimolar,Concentration,mM
mole percent,Concentration,mol %
milliequivalents per kilogram,Concentration,meq/kg
kilogram per square meter per second,Areal Flux,kg/m^2/s
joules per square meter,Energy Per Area,J/m^2
Amperes,Energy,A
centimoles per kilogram,Concentration,cmol/kg
kilograms per hectare,Areal Density,kg/ha
cubic meter per cubic meter,Concentration,m3/m3
micromoles per mole,Concentration,umol/mol
millimoles per mole,Concentration,mmol/mol
milligrams per square meter per second,Areal Flux,mg/m2 s
decibar,Pressure,dbar
milliliters per liter,Concentration,mL/L
millimoles per square meter per day,Areal Flux,mmol/m^2 d
