"1,1,2,2-Tetrachloroethane","1,1,2,2-Tetrachloroethane (C2H2Cl4)"
"1,1,2-Trichloroethane","1,1,2-Trichloroethane (C2H3Cl3)"
"1,1-Dichloroethane","1,1-Dichloroethane (C2H4Cl2)"
"1,1-Dichloroethene","1,1-Dichloroethene (C2H2Cl2)"
"1,2,4-Trichlorobenzene","1,2,4-Trichlorobenzene (C6H3Cl3)"
"1,2-Dibromo-3-chloropropane","1,2-Dibromo-3-chloropropane (C3H5Br2Cl)"
"1,2-Dichlorobenzene","1,2-Dichlorobenzene (C6H4Cl2)"
"1,2-Dichloroethane","1,2-Dichloroethane (C2H4Cl2)"
"1,2-Dichloropropane","1,2-Dichloropropane (C3H6Cl2)"
"1,2-Dimethylnaphthalene","1,2-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)"
"1,3-Dichlorobenzene","1,3-Dichlorobenzene (C6H4Cl2)"
"1,3-Dimethyladamantane","1,3-Dimethyladamantane (C12H20)."
"1,3-Dimethylnaphthalene","1,3-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)"
"1,3-Dinitrobenzene","1,3-Dinitrobenzene (C6H4N2O4)"
"1,4,5,8-Tetramethylnaphthalene","1,4,5,8-Tetramethylnaphthalene (C14H16), a polycyclic aromatic hydrocarbon (PAH)"
"1,4-Dichlorobenzene","1,4-Dichlorobenzene (C6H4Cl2)"
"1,4-Dimethylnaphthalene","1,4-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)"
"1,5-Dimethylnaphthalene","1,5-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)"
"1,6-Dimethylnaphthalene","1,6-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)"
"1,8-Dimethylnaphthalene","1,8-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)"
19-Hexanoyloxyfucoxanthin,The phytoplankton pigment 19-Hexanoyloxyfucoxanthin
1-Methylanthracene,"1-Methylanthracene (C15H12), a polycyclic aromatic hydrocarbon (PAH)"
1-Methylfluorene,"1-Methylfluorene (C14H12), a polycyclic aromatic hydrocarbon (PAH)"
1-Methylnaphthalene,"1-Methylnaphthalene (C10H7CH3), a polycyclic aromatic hydrocarbon (PAH)"
1-Methylphenanthrene,"1-Methylphenanthrene (C15H12), a polycyclic aromatic hydrocarbon (PAH)"
1-Naphthalenol methylcarbamate,1-Naphthalenol methylcarbamate (C12H11NO2)
"2,2-dichlorovinyl dimethyl phosphate","2,2-dichlorovinyl dimethyl phosphate (C4H7Cl2O4P)"
"2,3,5-Trimethylnaphthalene","2,3,5-Trimethylnaphthalene (C13H14), a polycyclic aromatic hydrocarbon (PAH)"
"2,4,5-Trichlorophenol","2,4,5-Trichlorophenol (C6H3Cl3O)"
"2,4,6-Trichlorophenol","2,4,6-Trichlorophenol (TCP) (C6H2Cl3OH)"
"2,4-Dichlorophenol","2,4-Dichlorophenol (C6H4Cl2O)"
"2,4-Dimethylphenol","2,4-Dimethylphenol (C8H10O)"
"2,4-Dinitrophenol","2,4-Dinitrophenol (C6H4N2O5)"
"2,4-Dinitrotoluene","2,4-Dinitrotoluene (C7H6N2O4)"
"2,6-Dinitrotoluene","2,6-Dinitrotoluene (C7H6N2O4)"
"2,7-Dimethylnaphthalene","2,7-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)"
2-Butanone (MEK),2-Butanone (MEK) (C4H8O)
2-Butoxyethanol,2-Butoxyethanol (CH3(CH2)2CH2OCH2OH)
2-Chloronaphthalene,2-Chloronaphthalene (C10H7Cl)
2-Chlorophenol,2-Chlorophenol (C6H5ClO)
2-Hexanone,2-Hexanone (C6H12O)
2-Methylanthracene,"2-Methylanthracene (C15H12), a polycyclic aromatic hydrocarbon (PAH)"
2-Methyldibenzothiophene,"2-Methyldibenzothiophene (C13H10S), a polycyclic aromatic hydrocarbon (PAH)"
